1
0	19
0	53
1	50
1	64
1	68
1	91
2	9
2	43
2	66
3	56
3	67
3	93
4	21
4	25
4	62
5	68
6	20
6	56
6	73
6	81
7	15
7	30
7	36
7	43
7	44
7	90
8	72
8	81
8	91
9	2
9	15
9	29
9	62
9	81
10	67
10	76
10	92
10	98
11	28
11	84
11	86
11	96
12	57
12	63
12	68
13	18
13	90
14	50
14	52
14	66
14	75
15	7
15	9
15	16
15	33
15	45
15	71
15	89
16	15
16	22
16	32
16	70
16	96
17	0
17	21
17	28
17	37
17	61
18	13
18	79
18	96
19	0
19	46
19	79
19	87
19	90
20	6
20	27
20	77
21	4
21	17
21	44
21	49
22	16
22	72
22	82
22	97
23	63
24	54
24	81
25	4
25	55
25	64
25	93
26	36
26	47
26	53
26	54
26	73
26	87
26	91
27	20
27	50
27	51
27	74
27	80
28	11
28	17
28	61
29	9
29	41
29	57
29	76
30	7
30	65
30	93
31	69
32	16
32	59
32	76
32	85
32	91
33	15
33	65
33	67
33	93
34	42
35	38
35	62
35	95
36	7
36	26
36	43
36	59
37	17
37	55
38	35
38	73
38	94
39	87
39	92
40	62
40	88
41	29
41	43
42	34
43	2
43	7
43	36
43	41
43	78
44	7
44	21
44	78
45	15
46	19
46	65
47	26
47	99
48	70
49	21
49	51
50	1
50	14
50	27
50	92
51	27
51	49
51	75
52	14
52	65
52	88
53	0
53	26
53	84
54	24
54	26
55	25
55	37
55	59
55	66
56	3
56	6
56	61
56	87
56	94
57	12
57	29
57	71
57	88
57	90
58	94
59	32
59	36
59	55
61	17
61	28
61	56
61	70
61	87
61	88
62	4
62	9
62	35
62	40
63	12
63	23
63	92
64	1
64	25
64	66
64	67
64	72
64	82
65	30
65	33
65	46
65	52
65	83
65	90
66	2
66	14
66	55
66	64
66	94
67	3
67	10
67	33
67	64
67	76
67	93
68	1
68	5
68	12
68	79
69	31
70	16
70	48
70	61
70	73
71	15
71	57
71	73
71	84
71	85
71	94
71	95
72	8
72	22
72	64
72	78
73	6
73	26
73	38
73	70
73	71
73	90
73	96
74	27
74	76
74	93
75	14
75	51
76	10
76	29
76	32
76	67
76	74
76	83
76	99
77	20
77	82
77	96
78	43
78	44
78	72
79	18
79	19
79	68
80	27
80	98
81	6
81	8
81	9
81	24
82	22
82	64
82	77
82	84
83	65
83	76
83	87
83	97
84	11
84	53
84	71
84	82
85	32
85	71
86	11
87	19
87	26
87	39
87	56
87	61
87	83
88	40
88	52
88	57
88	61
89	15
89	91
90	7
90	13
90	19
90	57
90	65
90	73
91	1
91	8
91	26
91	32
91	89
92	10
92	39
92	50
92	63
93	3
93	25
93	30
93	33
93	67
93	74
94	38
94	56
94	58
94	66
94	71
95	35
95	71
96	11
96	16
96	18
96	73
96	77
97	22
97	83
98	10
98	80
99	47
99	76
